epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.196,2.31844,7.80903,2.09831,0.30889,0.04602,0.02948,0.01046,2.30874,7.77655,2.16705,0.000246575,0.000246575,0.000246575
2,110.048,2.30646,6.60573,2.08141,0.04508,0.11064,0.02761,0.01225,2.59331,9.5829,2.37567,0.000486693,0.000486693,0.000486693
3,160.354,2.40002,6.60555,2.19909,0.0207,0.06686,0.00863,0.00259,2.75841,58.3887,2.70744,0.000716862,0.000716862,0.000716862
4,211.159,2.44855,6.75395,2.21869,0.02966,0.04176,0.00876,0.00245,2.82908,14.6637,2.63819,0.00093708,0.00093708,0.00093708
5,261.76,2.45118,6.81391,2.24785,0.62466,0.02335,0.01398,0.00611,2.85927,9.39915,2.55296,0.00114735,0.00114735,0.00114735
6,311.672,2.41768,6.63104,2.18544,0.34057,0.04693,0.02757,0.00872,2.47648,7.1178,2.30021,0.00112562,0.00112562,0.00112562
7,361.909,2.34683,6.50065,2.1219,0.36706,0.06539,0.04232,0.01768,2.40545,6.72333,2.20917,0.00110075,0.00110075,0.00110075
8,411.772,2.3407,6.49685,2.14866,0.187,0.09706,0.07229,0.03123,2.34422,6.64909,2.20555,0.00107588,0.00107588,0.00107588
9,462.508,2.29878,6.38431,2.11504,0.18648,0.08537,0.07916,0.03446,2.33871,6.34794,2.15534,0.001051,0.001051,0.001051
10,512.547,2.25714,6.22637,2.06425,0.28026,0.1081,0.08064,0.03529,2.21738,6.24668,2.05975,0.00102613,0.00102613,0.00102613
11,563.016,2.22229,6.14944,2.04923,0.21463,0.15306,0.12608,0.05278,2.18524,5.75974,2.03864,0.00100125,0.00100125,0.00100125
12,613.004,2.19743,5.97494,2.01942,0.32366,0.14438,0.11238,0.05004,2.1671,5.88172,2.02458,0.000976375,0.000976375,0.000976375
13,662.759,2.16129,5.74696,1.99682,0.33973,0.17477,0.15562,0.07094,2.14539,5.3658,1.99821,0.0009515,0.0009515,0.0009515
14,712.844,2.12605,5.68308,1.95963,0.33333,0.16495,0.16241,0.07353,2.08763,5.40487,1.98148,0.000926625,0.000926625,0.000926625
15,764.252,2.09904,5.60903,1.95611,0.37761,0.18113,0.15837,0.07182,2.02597,5.32117,1.8944,0.00090175,0.00090175,0.00090175
16,813.555,2.06756,5.5103,1.92738,0.44232,0.21122,0.18759,0.0852,2.05076,5.10374,1.90939,0.000876875,0.000876875,0.000876875
17,864.979,2.01879,5.43967,1.91132,0.39553,0.21687,0.19688,0.09611,1.97143,5.02,1.86404,0.000852,0.000852,0.000852
