epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,334.675,1.90639,3.0684,1.85221,0.19606,0.14887,0.09782,0.04206,1.95159,2.71936,1.90301,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,471.29,1.89353,2.74726,1.83632,0.164,0.15303,0.07301,0.02811,2.1427,3.03905,2.04718,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539
3,592.823,2.01575,2.92779,1.95513,0.06979,0.05501,0.0214,0.00748,2.41263,3.59848,2.30819,0.0293903,0.00979677,0.0293903,0.00979677,0.0293903,0.00979677,0.0293903,0.00979677
4,709.085,2.05459,3.03967,2.02559,0.11542,0.09824,0.0459,0.01732,2.23721,3.21053,2.1757,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,825.522,1.98593,2.93969,1.98341,0.16171,0.16468,0.07881,0.03059,2.1242,2.93448,2.10379,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,941.909,1.93264,2.86074,1.94439,0.19712,0.16339,0.09849,0.03931,1.98851,2.78515,2.01459,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1058.02,1.89899,2.78955,1.90948,0.22283,0.18307,0.11935,0.04808,1.97852,2.72353,1.99868,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1174.91,1.86472,2.72376,1.88129,0.23766,0.19885,0.12777,0.0537,1.92954,2.66786,1.94102,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1291.92,1.84174,2.68447,1.85949,0.22475,0.19179,0.12555,0.05393,1.9311,2.67071,1.91484,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1409.14,1.81822,2.63229,1.82841,0.2508,0.2159,0.14461,0.062,1.8957,2.59199,1.88912,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1526.51,1.79264,2.58731,1.80964,0.26362,0.22099,0.15564,0.06639,1.90215,2.58479,1.89284,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1643.72,1.77637,2.54843,1.80369,0.26118,0.22125,0.15976,0.06972,1.86369,2.56031,1.90356,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1761.27,1.75736,2.50566,1.78861,0.25691,0.23223,0.16168,0.0714,1.87569,2.52309,1.86957,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1877.99,1.73829,2.46673,1.76889,0.26758,0.24113,0.1749,0.07767,1.85313,2.50056,1.85791,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1994.49,1.72627,2.44236,1.75682,0.28344,0.25087,0.18409,0.08241,1.8482,2.47104,1.85697,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2111.13,1.70922,2.39841,1.75069,0.31941,0.25112,0.19729,0.08953,1.82698,2.42764,1.83011,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2228.03,1.7021,2.38713,1.73695,0.30589,0.25793,0.20047,0.09182,1.8173,2.40952,1.82152,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2344.34,1.68973,2.36574,1.73208,0.31541,0.25676,0.20255,0.09183,1.82919,2.4073,1.83684,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2461.27,1.68015,2.32749,1.72167,0.3191,0.25399,0.20106,0.09133,1.81356,2.39579,1.81746,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2577.68,1.6648,2.28157,1.69937,0.3182,0.27016,0.2097,0.09722,1.80247,2.35653,1.80616,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2694.64,1.65119,2.26081,1.69577,0.33995,0.27039,0.21881,0.10104,1.79887,2.34794,1.81844,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2811.65,1.63702,2.23761,1.68449,0.32893,0.27569,0.21664,0.09999,1.80709,2.35535,1.81994,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2927.58,1.62137,2.19923,1.67098,0.32704,0.27271,0.21898,0.10108,1.79756,2.32781,1.80917,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3044.97,1.6127,2.1873,1.66353,0.34056,0.27193,0.22172,0.10362,1.80758,2.34143,1.81735,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3161.86,1.60994,2.15398,1.65949,0.33011,0.28045,0.2282,0.10491,1.80474,2.33417,1.8208,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3277.95,1.59655,2.13566,1.65486,0.34493,0.27572,0.23469,0.10942,1.78701,2.31339,1.80863,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3394.85,1.58488,2.10996,1.64426,0.33325,0.28375,0.22345,0.10345,1.79805,2.30487,1.81478,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3510.67,1.58071,2.08316,1.63672,0.35716,0.28709,0.23884,0.11053,1.78729,2.29744,1.80108,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3627.62,1.56169,2.05704,1.61926,0.3535,0.289,0.23496,0.10995,1.78141,2.29448,1.7999,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3743.47,1.55501,2.02699,1.61136,0.3536,0.29147,0.2337,0.10597,1.80752,2.2925,1.81887,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3859.73,1.54517,1.99977,1.60459,0.35752,0.28301,0.24048,0.11167,1.80167,2.29124,1.81712,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3976.05,1.53236,1.98122,1.59696,0.34389,0.29504,0.23933,0.11089,1.791,2.28041,1.80642,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4091.99,1.51845,1.94837,1.58609,0.36544,0.28309,0.2439,0.11309,1.78685,2.27883,1.80358,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4208.49,1.50779,1.92096,1.57837,0.35394,0.29181,0.2434,0.11289,1.8034,2.28657,1.82123,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
